
#GA 4.1.0RePy - GRAPH 'min_quality' OPENED, 09.03.22-21:43:27#
#GA 4.1.0RePy - GRAPH 'min_quality' OPENED, 09.03.22-21:43:27#
#GA 4.1.0RePy - GRAPH 'min_quality' OPENED, 09.03.22-21:43:27#
#GA 4.1.0RePy - GRAPH 'min_quality' OPENED, 09.03.22-21:43:27#
#GA 4.1.0RePy - GRAPH 'min_quality' OPENED, 09.03.22-21:43:27#
#GA 4.1.0RePy - GRAPH 'min_quality' OPENED, 09.03.22-21:43:27#
#GA 4.1.0RePy - GRAPH 'min_quality' OPENED, 09.03.22-21:43:27#
#GA 4.1.0RePy - GRAPH 'min_quality' OPENED, 09.03.22-21:43:27#
#GA 4.1.0RePy - GRAPH 'min_quality' OPENED, 09.03.22-21:43:27#
#GA 4.1.0RePy - GRAPH 'min_quality' OPENED, 09.03.22-21:43:27#
#GA 4.1.0RePy - GRAPH 'min_quality' OPENED, 09.03.22-21:43:27#
#GA 4.1.0RePy - GRAPH 'min_quality' OPENED, 09.03.22-21:43:27#
0, -422.9929089795651
0, -460.0004900173305
0, -426.18748090910856
0, -429.9812025746487
0, -459.5084856561745
0, -384.60386792831855
0, -432.0699843558257
0, -401.009236349224
0, -469.8475584081297
0, -381.1667810231674
0, -416.14516829038695
0, -466.7365987921129
1, -292.64950248327455
1, -386.2341601415939
1, -291.01148373379067
1, -430.52428323867946
1, -427.3623057609365
1, -282.40502075331887
1, -334.73639155234497
1, -263.21833756903726
1, -296.2976077972139
1, -358.2705282759176
1, -267.10342587433996
1, -334.20570897129596
2, -231.24440645921206
2, -251.96789440119272
2, -230.20699542799383
2, -250.2518367338004
2, -234.17894268771198
2, -253.27441746296506
2, -240.09533835506224
2, -250.2425887879511
2, -197.98718992338613
2, -267.194339330218
2, -189.56411532308178
2, -241.34841965888396
3, -212.8154151475298
3, -225.20017185851484
3, -209.89416834653645
3, -257.73212544137056
3, -211.75072080992402
3, -155.9222518396667
3, -212.4065713512014
3, -261.88530282311126
3, -220.81001182938246
3, -184.664087226429
3, -383.92671205411995
3, -322.09533728181094
4, -107.09391179055203
4, -119.49101230158792
4, -218.76343076689648
4, -164.6472867358598
4, -213.60268990858432
4, -214.54653067148348
4, -151.03979367038787
4, -158.27221604118782
4, -119.51443698985354
4, -140.8839257940516
4, -215.42436501135623
4, -246.3060461459427
5, -153.439938737707
5, -138.54312571173034
5, -163.0724191952249
5, -143.25911376055836
5, -160.05464897879588
5, -154.36230953464178
5, -152.61047993121392
5, -160.60112247544532
5, -73.649998586364
5, -236.2804221261727
5, -170.5053034476738
5, -211.0260554186681
6, -187.9888678053859
6, -189.2851593558464
6, -101.79682715019487
6, -143.4543051503756
6, -118.0463251432173
6, -102.92632544157763
6, -124.11201568253345
6, -123.7754689401058
6, -137.7226455722929
6, -124.65263441301606
6, -109.7844331863224
6, -166.37198485550417
7, -139.4504519751352
7, -250.0557599184612
7, -154.42090724917313
7, -93.0702814105268
7, -213.09002182149683
7, -127.84480886556936
7, -116.95843437493984
7, -111.59292397772977
7, -134.93748807824255
7, -125.21558532263495
7, -136.70611484393743
7, -126.19755427545184
8, -161.7175586714119
8, -133.2236105056409
8, -164.8044140758127
8, -104.75607183427726
8, -132.50458449942644
8, -104.34839827882824
8, -119.28510238712691
8, -154.63454337533426
8, -244.20480093246394
8, -129.57281597863187
8, -116.20771298816774
8, -127.45273290479528
9, -143.6289235445344
9, -136.30753514963422
9, -114.01872971429661
9, -99.58737438354254
9, -126.06760502569973
9, -105.35074036728064
9, -120.39155056653333
9, -119.46404426249947
9, -104.00671825593069
9, -108.65313274903292
9, -117.9418284422795
9, -106.31414390503616
10, -129.08612821841223
10, -133.78881114346228
10, -103.99563204697984
10, -106.43373818188182
10, -107.88277073432758
10, -113.16003187248407
10, -118.38544247527722
10, -155.3085748884388
10, -106.83107861998757
10, -85.88793185807589
10, -104.43189393324775
10, -120.90907645762456
11, -105.91131657260891
11, -208.46958866407596
11, -110.66470120496322
11, -94.46185520791835
11, -179.14035725898827
11, -119.69267527023354
11, -110.4938487586973
11, -109.72922886211295
11, -103.50991491445401
11, -110.60867427342315
11, -105.69263641504504
11, -123.84279712757309
12, -94.78112223419
12, -120.07930322839081
12, -111.38522099686507
12, -99.52684419972304
12, -103.2421740232653
12, -203.84668945363381
12, -110.07741928878654
12, -100.91076115361707
12, -101.43105390840097
12, -114.54040617350289
12, -103.71892828086781
12, -116.06257992551087
13, -111.59251810494055
13, -106.73081735809808
13, -102.84901706558594
13, -102.16380102896662
13, -98.94710869907881
13, -119.86114789447234
13, -103.5872539422946
13, -109.41951595347956
13, -101.02038380593869
13, -107.05737156649671
13, -102.13579807097271
13, -102.76071304957182
14, -94.34094116625063
14, -105.96227063989028
14, -103.38413981151206
14, -102.33227879186033
14, -105.05762195273013
14, -104.95562622311034
14, -109.87275645655795
14, -102.04031981118872
14, -103.31945360096182
14, -125.53659071364721
14, -104.3873444993086
14, -101.24368181451571
15, -104.29675866514728
15, -225.81364183090935
15, -216.93205364945084
15, -97.57008750405622
15, -106.06447908744789
15, -103.52730998695431
15, -103.65077378951254
15, -102.1228500684284
15, -104.37516237570992
15, -102.91066833254808
15, -104.38425117096058
15, -105.6145528948857
16, -131.11832334356944
16, -101.46977641931527
16, -106.48871080041438
16, -101.16522044133326
16, -105.2370501265704
16, -103.0511866681301
16, -106.83709740565124
16, -103.27879433503023
16, -99.75662688078482
16, -106.16770154113189
16, -103.36897480280993
16, -103.84050609304374
17, -105.23719399217188
17, -102.04733600794293
17, -100.97678950241976
17, -101.9691307589615
17, -101.30450398379875
17, -156.7921961848115
17, -105.18147985792044
17, -101.67178345610165
17, -101.50895024746342
17, -102.07387483656355
17, -106.65657466176273
17, -103.55564335172497
18, -104.39654493906674
18, -101.68451916708007
18, -225.91487702833112
18, -102.61496950889605
18, -101.3682862080057
18, -99.06511257970573
18, -100.37892983054743
18, -102.00468972003551
18, -100.11258368415838
18, -101.54830653624012
18, -204.78722419753194
18, -102.94183816331844
19, -120.89080944616119
19, -101.89549487464679
19, -100.75606274413325
19, -103.76532714888941
19, -102.49113257924017
19, -99.06305348213817
19, -100.51557110978635
19, -101.37284919819383
19, -106.46392133671188
19, -101.62765580313591
19, -127.29970205884678
19, -102.36119094179134
20, -104.37975004399249
20, -101.44393020497289
20, -127.02142553710888
20, -101.8646646565761
20, -155.521262048019
20, -124.74966033687446
20, -100.57315349487399
20, -99.82572155353118
20, -102.77364107575443
20, -107.27780768610195
20, -107.22357011967898
20, -105.22722099048836
21, -100.04582750701248
21, -100.82214242109495
21, -25.43188574211819
21, -102.25859415617192
21, -99.61919066273396
21, -100.22818757594797
21, -105.55267636275474
21, -101.06681976959148
21, -113.91687636488874
21, -100.16974585715406
21, -101.49881170524118
21, -120.65941764816978
22, -99.84516587102412
22, -101.73212924297474
22, -100.0637058202535
22, -105.68746918689311
22, -101.35789402869142
22, -100.2068011543254
22, -103.53454938195573
22, -99.97221048892808
22, -107.84920814940027
22, -101.09950441178785
22, -100.64113434080402
22, -106.98535347825421
23, -103.67590395258104
23, -101.69352226630231
23, -101.92068353598043
23, -103.01388332090337
23, -100.4009848153607
23, -222.5622573311607
23, -101.23716816420115
23, -99.88940714756161
24, -224.06205429941676
23, -100.99876283155162
23, -112.33143771915995
23, -100.18402252521629
24, -100.3607958920552
24, -98.89640555477018
23, -113.82315566112966
24, -100.54269856468258
24, -126.67917784418884
24, -100.11211060594894
24, -124.67758557390721
24, -124.89815425443712
24, -101.00525575698897
25, -102.09171360708231
24, -101.28521762455456
24, -126.59764381624004
25, -101.14920284229531
25, -224.50753347222724
24, -106.55248252339359
25, -223.45425947782925
25, -125.1140985541332
25, -156.92913778213847
25, -100.1620016426995
25, -100.35541218774416
25, -101.39704714196688
26, -218.24966613651722
25, -99.07816679415333
25, -100.00677129057786
26, -100.17509923212357
25, -101.51900638203257
26, -119.41290100813579
26, -102.79947503172194
26, -224.9238271570485
26, -201.24524332667374
26, -99.90234074750225
26, -100.16987683046167
27, -101.28324189816068
26, -114.2492770402992
26, -101.46291156895263
26, -106.22744516514817
27, -106.68497106718746
27, -100.15171970690439
26, -106.92549360967936
27, -200.1802159800401
27, -102.881726085561
27, -112.79280732212436
27, -100.16356604969377
28, -99.81227426309104
27, -100.00424934900049
27, -99.48013582333378
27, -105.8595133139617
27, -100.74356840514177
28, -200.54527323095073
28, -100.1706392347671
27, -126.98193141523865
28, -100.43000573142484
28, -100.57950269768264
28, -99.89886897295763
28, -106.19521975789786
29, -112.72179915564159
28, -99.9905442230509
28, -100.57833513690737
28, -105.86399743116367
28, -100.35412899013586
29, -113.04806280721367
29, -100.15174919168746
28, -105.73942130500485
29, -100.67504910821745
29, -111.27170984236962
29, -106.35300625739403
30, -99.84517288542443
29, -124.89414528818696
29, -99.93863708808722
29, -102.21305704366365
29, -100.88778495295999
29, -100.17316700803562
30, -100.16171385201538
30, -100.35307607102263
29, -100.63469841023415
30, -100.84773092198226
30, -100.03272578574608
31, -101.56541564359756
30, -113.15657831569874
30, -99.90227698907357
30, -100.06206506048767
30, -100.87296957360559
30, -100.91883024547383
30, -226.532764229376
31, -100.52198193334328
31, -100.15447387984754
30, -100.54265250323556
31, -107.19651866958095
31, -99.90485567358792
32, -106.10219043695886
31, -100.10598171028019
31, -224.93254751474703
31, -100.0777859004791
31, -100.11545687162243
31, -199.26014214054828
31, -100.06085388371939
32, -100.14866505489233
31, -99.80482336578474
32, -101.82105941618062
32, -100.48250206491927
32, -99.95061614550615
33, -124.7420808200373
32, -100.06448780419821
32, -100.36680113622641
32, -125.02066048439534
32, -99.47640871712338
32, -100.22770564379073
32, -100.12944254520839
33, -100.04714496844386
32, -100.2443040350658
33, -99.88813658686061
33, -100.37196546726844
33, -126.56628195239115
34, -106.45743647996314
33, -100.05293611005983
33, -103.61975727473927
33, -99.96874112982405
33, -101.46776292826462
33, -99.92285190431521
33, -101.57581372026863
34, -100.06280391520185
33, -101.84593955176656
34, -112.95299954265008
34, -100.58990299807252
34, -225.45957227138612
34, -100.16172103067076
35, -124.80146926677759
34, -220.31871426082665
34, -199.84983083386174
34, -125.1470190531301
34, -106.61773223465275
35, -100.12649741566672
34, -100.01096779317423
34, -126.73677152704126
35, -100.0330962143678
35, -100.87644376995735
35, -100.00944684628526
35, -110.46855554256281
36, -100.10488144569284
35, -100.04979144773208
35, -199.941353605968
35, -100.18643801569273
35, -99.87488945475826
36, -100.07652846272026
35, -112.89904831171685
35, -106.13991541654718
36, -100.17613127774791
36, -99.93795702322268
36, -100.78766343956354
36, -100.01287509142094
36, -100.06506062688183
37, -100.95131428968189
36, -99.92629921922648
36, -101.14250655327282
36, -99.9015286899665
37, -100.03491017208663
36, -100.03178167714938
36, -100.17729951664371
37, -101.58978529465895
37, -103.5748889215091
37, -103.16830526529843
37, -100.05179210706125
37, -101.59334519340561
38, -106.53293324801095
37, -206.2747395527379
38, -99.98850492012761
37, -99.97625224689037
37, -124.95222573025796
37, -100.01659464389964
37, -100.05756577033857
38, -100.05789790770511
38, -100.17655541195231
38, -100.00944164396564
38, -100.01134911865465
38, -112.87989772846723
39, -225.1114356279662
38, -125.03584890026157
38, -224.94567211385055
39, -99.99571392230469
38, -100.78497872158906
38, -121.85215840072563
38, -104.7497886365354
39, -106.29312479937468
39, -223.87687046086992
39, -100.02508325444828
39, -100.07538989014301
39, -100.01773965061852
40, -100.08117443772794
39, -100.32397409681616
39, -101.57389148772663
39, -112.77779722413034
40, -99.98923378511485
39, -112.93299743845046
39, -100.1017831380337
40, -100.02126826432482
40, -100.95840110228602
40, -100.01316172595317
40, -156.25470883018704
40, -100.01812066013989
41, -125.15678565769413
40, -100.11733931769712
40, -156.2513709726262
40, -122.61684843858468
41, -99.9919031220494
40, -124.9659562262469
40, -112.89337369896798
